"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"390","Nup98",2.07942028222697e-278,0.614141338049886,0.686,0.702,4.59052821504425e-274
"391","Tmem147",2.5227399260775e-278,-0.355004800545011,0.221,0.599,5.56920066080869e-274
"392","Ppp2ca",3.60252514529986e-278,0.699232537605708,0.852,0.876,7.95293451076397e-274
"393","Yif1b",1.1084689003116e-277,-0.343851767805394,0.249,0.629,2.4470559443279e-273
"394","Ppme1",5.29978979856077e-277,0.764362589852275,0.575,0.504,1.16998159593028e-272
"395","Siva1",6.61177601343359e-277,-0.271788435933557,0.245,0.603,1.4596156727256e-272
"396","Itgb5",8.12753756108775e-277,-0.454465438042881,0.386,0.8,1.79423519198573e-272
"397","Tmed5",1.46275763040189e-276,0.910604952729268,0.694,0.65,3.22918374487521e-272
"398","Cdr2l",1.97418478896113e-276,1.06554419908982,0.499,0.198,4.35821034011058e-272
"399","Hexb",2.05938036538255e-276,-0.468810654035101,0.294,0.71,4.54628809461852e-272
"400","Znhit6",2.41857946048231e-276,-0.485768245105668,0.093,0.448,5.33925601696075e-272
"401","Angptl2",2.86196617360114e-276,-0.449874580264948,0.097,0.45,6.31807652484189e-272
"402","Ahnak2",4.02136105842598e-276,-0.426956139317311,0.095,0.449,8.87755667258119e-272
"403","Hip1",6.16568032777086e-276,-0.46988550177392,0.078,0.422,1.36113558915869e-271
"404","Errfi1",2.67170146490816e-275,1.16034863367691,0.954,0.901,5.89804815393126e-271
"405","Prrx2",8.24247355114215e-275,-0.475971446780309,0.283,0.694,1.81960846115014e-270
"406","Pdrg1",1.10808283197655e-274,-0.428589862314077,0.174,0.555,2.44620365987144e-270
"407","Tns3",1.59683345362545e-274,-0.429192190786318,0.167,0.545,3.52516953222354e-270
"408","Lpar1",7.37069755131757e-274,-0.297853993138145,0.146,0.472,1.62715519142887e-269
"409","Hbegf",9.95783897735437e-274,-1.3413089345602,0.215,0.627,2.19829253264075e-269
"410","Phlda3",1.01356999787306e-273,-0.561736717461205,0.237,0.649,2.23755712730457e-269
"411","Ddx24",1.06566207895284e-273,0.612031339412622,0.807,0.854,2.35255560549629e-269
"412","Tmem134",2.00182555587168e-273,-0.295598058830403,0.177,0.522,4.41923009714233e-269
"413","Tmem176b",2.01861211658878e-273,0.638674467933118,0.849,0.882,4.45628810858139e-269
"414","Fth1",2.72440938512641e-273,0.600107837789717,0.999,0.996,6.01440615860506e-269
"415","Gbp3",4.64677829935358e-273,1.11457945384923,0.384,0.061,1.0258227773653e-268
"416","Mpp6",7.48283078577617e-273,-0.431446579041667,0.274,0.676,1.65190972426795e-268
"417","Myadm",1.29673928453944e-272,-0.462956723942726,0.15,0.527,2.86268164454926e-268
"418","Cisd1",1.04942992655996e-271,-0.296610884558852,0.18,0.524,2.31672150587377e-267
"419","Ddb1",1.06314878309361e-271,-0.293420613809266,0.294,0.658,2.34700725355745e-267
"420","Sub1",1.46675958240535e-271,0.73538554029985,0.901,0.912,3.23801845411804e-267
"421","Adipor1",2.48482259047938e-271,-0.305421000805384,0.245,0.608,5.48549435074228e-267
"422","Pls3",3.42940726931312e-271,-0.553738911398496,0.321,0.744,7.57075948773563e-267
"423","Mrps14",5.09533581094984e-271,-0.256878723034839,0.357,0.72,1.12484633362529e-266
"424","Mlec",5.8413939971162e-271,-0.307069895453808,0.278,0.65,1.28954613880337e-266
"425","Gbp7",1.60687211666184e-270,1.10437574207046,0.415,0.095,3.54733088474269e-266
"426","Wtip",2.55025367606888e-270,-0.26392949122174,0.245,0.593,5.62994001528966e-266
"427","Pde5a",2.88988729695897e-270,0.949517798060172,0.441,0.147,6.37971519676663e-266
"428","Ptprd",6.95070878107271e-270,-0.501688843843834,0.2,0.588,1.53443847050961e-265
"429","Dpm3",3.34946970378409e-269,-0.38134555648007,0.453,0.847,7.39428931807375e-265
"430","Map3k2",3.62502839289828e-269,0.732310421424474,0.641,0.641,8.00261268016225e-265
"431","Des",4.08104848592364e-269,1.07157426815537,0.313,0.01,9.00932263752503e-265
"432","Tmem167",1.04097471141691e-268,-0.448250390941478,0.438,0.843,2.29805577292397e-264
"433","Surf4",2.76503932153516e-268,-0.389723157803702,0.38,0.78,6.10410080622102e-264
"434","Sytl3",4.25496015950044e-268,1.07697021169256,0.312,0.012,9.39325004811317e-264
"435","Timm10b",5.13105672343662e-268,-0.271394099370588,0.273,0.629,1.13273208226587e-263
"436","Pdlim5",7.74177399045366e-268,-0.434829185837344,0.293,0.692,1.70907402613255e-263
"437","Fkbp14",9.22129465554121e-268,-0.386100026210648,0.13,0.481,2.03569300815728e-263
"438","Reep5",1.0467660563484e-267,-0.593913542239042,0.572,0.936,2.31084074599472e-263
"439","Anxa1",1.12659351886221e-267,-0.70658637991985,0.58,0.935,2.48706785224022e-263
"440","Nr1d1",1.78276474170688e-267,-0.575374999424151,0.452,0.86,3.93563144379211e-263
"441","Cxcl1",3.52105891168288e-267,2.60001512218549,0.556,0.2,7.77308965343112e-263
"442","Ndufs3",1.07071965981652e-266,-0.27011286038777,0.224,0.57,2.36372072101094e-262
"443","Plxna4",5.29603873083869e-266,-0.456191220735473,0.088,0.431,1.16915351021995e-261
"444","Ankrd40",7.02181248454801e-266,-0.265888624297669,0.183,0.513,1.55013532408882e-261
"445","Aopep",1.02835742921124e-265,-0.695557834904729,0.522,0.903,2.27020186072673e-261
"446","Ctsd",1.65178902713072e-265,-0.51633220088669,0.518,0.906,3.64648945629378e-261
"447","Psme2",2.61849081153291e-265,0.594774179989364,0.528,0.51,5.78058031554005e-261
"448","Uqcc2",4.77929610921844e-265,-0.394425622906937,0.366,0.763,1.05507740907106e-260
"449","Pigp",5.58892875888273e-265,-0.28773233204156,0.288,0.649,1.23381191281095e-260
"450","Ttc19",6.44825607161943e-265,0.638990993534131,0.573,0.546,1.42351701037071e-260
"451","Nucks1",7.10003471040278e-265,0.408350919104906,0.709,0.833,1.56740366266852e-260
"452","Mbd2",1.2527189288303e-264,0.496185336587974,0.579,0.649,2.76550230728577e-260
"453","Mettl1",1.25937955654117e-264,-0.395282701084246,0.106,0.447,2.78020630902029e-260
"454","Tram1",1.47460233473029e-264,-0.288380135279287,0.34,0.709,3.25533211415059e-260
"455","Snhg18",1.97079295899902e-264,-0.432024809981161,0.266,0.657,4.35072253628624e-260
"456","Mrps21",2.43018342099477e-264,-0.275744108086342,0.366,0.732,5.36487292018806e-260
"457","Sat1",6.78060368964988e-264,1.59623314853227,0.855,0.736,1.49688607052711e-259
"458","Plbd2",8.24430024422075e-264,-0.330702078472288,0.232,0.596,1.82001172191417e-259
"459","Serf2",9.20985503010953e-264,-0.597512014187224,0.943,0.993,2.03316759644698e-259
"460","Slc50a1",1.04795334403109e-263,-0.323963267571345,0.336,0.713,2.31346180228303e-259
"461","Scarb2",1.20208784406023e-263,0.637182488558387,0.461,0.42,2.65372912454737e-259
"462","Bmp6",1.38163390322779e-263,-0.286356107035428,0.01,0.245,3.05009500476566e-259
"463","Tmem119",1.58451205877949e-263,-0.443298846650514,0.139,0.506,3.49796882096159e-259
"464","Flnb",1.72135912930031e-263,-0.515855308907342,0.129,0.5,3.80007241384336e-259
"465","Dnajb6",2.7211330375448e-263,0.687049911389718,0.795,0.816,6.00717329368391e-259
"466","Tor1aip2",3.39292524865921e-263,0.51526689796309,0.542,0.599,7.49022177894007e-259
"467","Sec11c",5.74444019270165e-263,-0.332147575934592,0.185,0.533,1.26814261694082e-258
"468","1110065P20Rik",9.07050267362669e-263,-0.324980796613405,0.112,0.437,2.00240417022983e-258
"469","Kdelr3",1.02003770985397e-262,-0.354781357920498,0.15,0.491,2.25183524827362e-258
"470","Psenen",1.60656066594889e-262,-0.251013802619283,0.374,0.734,3.54664332614878e-258
"471","Tra2a",3.2934448183046e-262,0.658804811388672,0.644,0.63,7.27060878088922e-258
"472","Myo1d",4.97192663514667e-262,-0.355667356940815,0.371,0.756,1.09760252397498e-257
"473","Cxcl10",1.94724230084624e-261,3.52222145114714,0.355,0.033,4.29873210334816e-257
"474","Armh4",2.55387313036739e-261,-0.339363245562244,0.037,0.314,5.63793032259906e-257
"475","Efemp2",8.85274439315361e-261,-0.335994936447638,0.283,0.656,1.95433185223259e-256
"476","Smim11",1.29327412500278e-260,-0.300947701377749,0.407,0.78,2.85503195835615e-256
"477","Hexa",1.81982484155324e-260,-0.614121101615532,0.424,0.834,4.01744532021294e-256
"478","Pi16",1.99936891126465e-260,-0.94628955869117,0.133,0.509,4.41380680850784e-256
"479","Sec23a",6.60434518939345e-260,-0.270189506012996,0.155,0.471,1.4579752440105e-255
"480","Rab10",1.35861098336546e-259,0.544985230448699,0.7,0.764,2.99926960687758e-255
"481","S100a4",1.4336565576143e-259,-0.780189352587152,0.105,0.463,3.16494021658932e-255
"482","Ppt1",1.65377761200691e-259,-0.275598166154639,0.176,0.504,3.65087945626645e-255
"483","Ptpn1",2.95752711649135e-259,0.82254135112058,0.723,0.671,6.52903686236631e-255
"484","Cenpx",4.12748530700843e-259,-0.280371077675492,0.193,0.531,9.11183656375182e-255
"485","Smurf2",6.05098857213875e-259,-0.447901930220893,0.265,0.659,1.33581623718535e-254
"486","Syn3",6.47080387945568e-259,-0.460406364426527,0.322,0.722,1.42849466442864e-254
"487","Phgdh",1.84704048845763e-258,-0.350682705306161,0.127,0.454,4.07752658231907e-254
"488","Sec22b",2.13572312703494e-258,-0.294509523744439,0.346,0.712,4.71482237524233e-254
"489","1810058I24Rik",4.19952416168992e-258,-0.352917820017365,0.348,0.732,9.27086953934666e-254
"490","Slit3",4.45886444413793e-258,-0.447640013338445,0.237,0.626,9.84338914687888e-254
"491","Ccser2",6.35639550914967e-258,-0.276947543117019,0.28,0.632,1.40323787259988e-253
"492","Myo1c",6.59323205402341e-258,-0.338623902984848,0.166,0.512,1.45552190824621e-253
"493","Psma7",6.8253267585991e-258,0.496935214090821,0.723,0.816,1.50675913522834e-253
"494","Has1",3.15030902866795e-257,1.42457391198741,0.47,0.153,6.95462221168737e-253
"495","Cnih1",5.85344492337563e-257,-0.280122142795473,0.26,0.609,1.2922065012844e-252
"496","Dctn4",9.50895313961254e-257,0.704329363690848,0.53,0.466,2.09919649510086e-252
"497","Ddr2",9.96842417308419e-257,0.495704983640191,0.587,0.666,2.20062932045007e-252
"498","Clec2d",1.00978504343187e-256,1.24811800746863,0.578,0.307,2.2292014618802e-252
"499","Uso1",1.07804343575554e-256,-0.294700149101654,0.238,0.587,2.37988868877393e-252
"500","Rrbp1",1.15154577644673e-256,-0.684847149736326,0.775,0.973,2.5421524560838e-252
"501","Man2b2",1.16419444660935e-256,-0.319965242922689,0.058,0.349,2.57007566033481e-252
"502","Aldh1a1",1.74989121844762e-256,-0.469828465607053,0.161,0.526,3.86305985384497e-252
"503","Rpn1",2.83502022112778e-256,-0.314238014743753,0.375,0.75,6.25859064016168e-252
"504","Apbb2",1.27723963796715e-255,-0.345698674995434,0.243,0.605,2.81963422477627e-251
"505","Flnc",1.68544075871415e-255,-0.965776205456015,0.12,0.485,3.72077901893736e-251
"506","Kcnk1",2.25105912815056e-255,-0.31437944835166,0.003,0.209,4.96943813130517e-251
"507","Stau1",2.34079234721753e-255,0.584174846213261,0.554,0.545,5.16753318571743e-251
"508","Mia2",2.71890127874404e-255,-0.250957929538088,0.268,0.607,6.00224646295535e-251
"509","Scpep1",4.7756994294648e-255,-0.357284015834473,0.357,0.739,1.05428340604865e-250
"510","Micos13",5.38221030514024e-255,-0.284632708229018,0.382,0.748,1.18817674696276e-250
"511","Asap1",6.63751811675127e-255,-0.407967639409225,0.309,0.697,1.46529849945401e-250
"512","Atp5g2",1.03013763367862e-254,-0.408878442992633,0.492,0.874,2.27413184010893e-250
"513","Ifi27l2a",1.24444164758125e-254,1.55198315681948,0.549,0.229,2.74722938120038e-250
"514","Nfic",3.84184423992216e-254,-0.374724302109627,0.303,0.689,8.48125534405217e-250
"515","Crim1",4.69709866756824e-254,-0.379010161093624,0.347,0.732,1.03693150185236e-249
"516","Mrps28",7.98613422998783e-254,-0.253056455726282,0.289,0.632,1.76301899261211e-249
"517","Scg2",8.08061609364559e-254,-1.61299089827754,0.01,0.237,1.7838768088332e-249
"518","Scp2",1.08355478195518e-253,-0.320791486623929,0.366,0.743,2.39205553664424e-249
"519","Atp2a2",1.14129551510166e-253,0.834881197485562,0.852,0.888,2.51952397913842e-249
"520","Cldn10",3.19996683179686e-253,-0.468971139639483,0.012,0.245,7.06424677787474e-249
"521","Bace2",3.54916478867044e-253,-0.315223224220377,0.186,0.521,7.83513618746885e-249
"522","Etnk1",4.25052077237753e-253,0.869317544268628,0.552,0.411,9.38344965710063e-249
"523","Pigk",4.88323772471987e-253,-0.27256543725677,0.142,0.458,1.07802356010916e-248
"524","Chid1",5.56685388652154e-253,-0.341484542864503,0.065,0.366,1.22893866398849e-248
"525","Nfe2l2",1.37460369721925e-252,0.760562594559928,0.747,0.736,3.03457512198123e-248
"526","Slc35a2",1.39999778519853e-252,-0.295838067930095,0.082,0.38,3.09063511060428e-248
"527","Hibadh",1.61076849013413e-252,0.450204405814627,0.412,0.439,3.55593251882011e-248
"528","Gas1",3.48815661913413e-252,-0.984312528166471,0.283,0.696,7.7004545524005e-248
"529","D030045P18Rik",7.48925451508829e-252,-0.385049033660486,0.003,0.206,1.65332782675089e-247
"530","Glt8d1",8.08789756652522e-252,-0.292148721124278,0.11,0.416,1.78548426678611e-247
"531","Card19",1.19211754320906e-251,-0.303576405984776,0.26,0.615,2.63171868838832e-247
"532","Peli1",1.23471666332197e-251,0.747204236947432,0.506,0.4,2.72576050594957e-247
"533","Txndc15",1.24948298272044e-251,-0.257310885041426,0.17,0.488,2.75835863265365e-247
"534","Tsn",1.38524922249242e-251,-0.286883531641963,0.438,0.8,3.05807618357426e-247
"535","Pgls",1.71207732616368e-251,-0.265088135494946,0.314,0.665,3.77958190523894e-247
"536","Cbfb",2.06746962405007e-251,0.5607588679315,0.452,0.439,4.56414594205294e-247
"537","Tmem223",2.20643939639803e-251,-0.297042604964871,0.185,0.519,4.87093561148829e-247
"538","Gpbp1",2.80160475032432e-251,0.399899407245923,0.579,0.668,6.18482264681597e-247
"539","Cmpk1",3.24687526259232e-251,-0.254988217486269,0.303,0.652,7.16780182969881e-247
"540","Pkd1",3.40582733498817e-251,-0.322749987851063,0.264,0.625,7.51870442471989e-247
"541","Cr1l",5.13576004871286e-251,-0.253877427570167,0.222,0.552,1.13377038835385e-246
"542","Akirin1",8.15465064540669e-251,0.538894296574033,0.52,0.558,1.80022067647998e-246
"543","Ppp1cb",2.48191361124683e-250,0.383669765670082,0.613,0.738,5.47907248818851e-246
"544","Arih1",5.22062243026972e-250,0.689201305048471,0.61,0.654,1.15250460770634e-245
"545","Yipf5",5.94115068843863e-250,-0.314920922936648,0.379,0.748,1.31156842597971e-245
"546","Glis1",1.06443213749667e-249,-0.357218024212072,0.147,0.491,2.34984038673764e-245
"547","Dtx3l",1.7521625690795e-249,0.947712223747269,0.406,0.109,3.86807408749991e-245
"548","Pld3",1.83455112167241e-249,-0.285961854471328,0.2,0.532,4.04995505620401e-245
"549","Proser2",2.49937746104749e-249,-0.454459855896399,0.05,0.348,5.51762568300843e-245
"550","Pabpc4",2.92129633931071e-249,-0.316870596194518,0.201,0.543,6.44905379866233e-245
"551","Chmp4b",2.97752704299534e-249,0.664808919197114,0.871,0.894,6.57318870011651e-245
"552","Rarg",1.39054004009758e-248,-0.311847569188203,0.117,0.432,3.06975619251941e-244
"553","Map1lc3b",1.57897733020497e-248,0.700839053761175,0.958,0.972,3.4857503541605e-244
"554","Ypel3",1.75996508563182e-248,-0.311103080718063,0.246,0.597,3.8852989230408e-244
"555","4932438A13Rik",2.81051660735256e-248,0.677232188454325,0.513,0.489,6.20449646239152e-244
"556","Fgfrl1",7.98219256085735e-248,-0.252732591619172,0.099,0.385,1.76214882973487e-243
"557","Nenf",8.06287705194692e-248,-0.646389901876498,0.751,0.98,1.7799607379878e-243
"558","AI506816",9.114226752412e-248,-0.322808938021308,0.118,0.435,2.01205669786247e-243
"559","Emd",1.31754446803749e-247,0.586973080050658,0.484,0.468,2.90861116763957e-243
"560","H2-D1",1.52555547252671e-247,1.00260427736439,0.935,0.944,3.36781626114997e-243
"561","Lamtor2",1.66851953159055e-247,-0.256471642183048,0.454,0.807,3.68342371793929e-243
"562","Guk1",1.69032247512285e-247,-0.264838528377903,0.23,0.565,3.7315558960812e-243
"563","Tmem204",1.7659432139068e-247,-0.259415679917988,0.127,0.422,3.89849623902065e-243
"564","Mrpl33",3.60674137565053e-247,-0.356941770308681,0.467,0.843,7.96224226088611e-243
"565","Meox1",3.82536269873639e-247,-0.55831603453084,0.073,0.393,8.44487069373045e-243
"566","Tomm5",4.21404300923228e-247,-0.303863720730544,0.341,0.702,9.30292134718118e-243
"567","Sra1",8.49089677892248e-247,-0.263095084752337,0.361,0.712,1.87445037291493e-242
"568","Pxdc1",1.37895241190354e-246,-0.433163723077005,0.225,0.598,3.04417534451825e-242
"569","Lamc3",1.8679021183125e-246,0.93775058587653,0.292,0.016,4.12358071638667e-242
"570","Crym",2.39666468231567e-246,1.04112625191473,0.317,0.023,5.29087695268008e-242
"571","Lman1",2.46335958138643e-246,-0.356111430723498,0.43,0.807,5.43811261186869e-242
"572","Map1lc3a",1.1083623117959e-245,0.779296001642849,0.895,0.915,2.44682063952062e-241
"573","Arl6ip1",1.11155188825946e-245,0.647653261756378,0.61,0.6,2.45386194852159e-241
"574","Ptprk",1.88946716102422e-245,0.781254486913445,0.502,0.33,4.17118770467707e-241
"575","Serf1",2.2665748190354e-245,-0.34274839461254,0.163,0.501,5.00369057050256e-241
"576","Eif5a",3.94170381899001e-245,1.01823055774087,0.964,0.972,8.70170535080234e-241
"577","Selenop",4.23483094913222e-245,0.5739253486576,0.749,0.804,9.34881280330428e-241
"578","Uba5",6.73004791037642e-245,-0.284730155796983,0.252,0.596,1.4857253766947e-240
"579","Cspg4",1.02097577491923e-244,-0.558944833324603,0.231,0.621,2.25390612071169e-240
"580","Loxl2",1.43768644594466e-244,-0.554839735541834,0.305,0.705,3.17383659806744e-240
"581","Ece1",1.70799777462089e-244,0.624724376252993,0.674,0.669,3.77057588725308e-240
"582","Inf2",1.94822674747807e-244,-0.348916457283622,0.129,0.462,4.30090536773259e-240
"583","Cdk14",2.9888249829264e-244,-0.317784184684964,0.245,0.593,6.59813003230831e-240
"584","Egfr",6.22678674589931e-244,-0.328055810538202,0.353,0.72,1.37462544202473e-239
"585","Commd3",6.26722174202892e-244,-0.263294555271772,0.18,0.5,1.3835518717703e-239
"586","Ssr1",7.65050688156891e-244,-0.281312221482594,0.379,0.737,1.68892589917515e-239
"587","Os9",1.19371663011025e-243,-0.336418329152606,0.268,0.626,2.63524883263138e-239
"588","Aldh1a2",1.83806750763263e-243,1.1032694163033,0.539,0.394,4.0577178298498e-239
"589","C1ra",1.99501089128233e-243,-0.426318957873198,0.452,0.833,4.40418604359487e-239
"590","Ltbp1",2.33039449226102e-243,-0.372984805019149,0.118,0.44,5.14457888111543e-239
"591","Amotl2",7.80758203639266e-243,-0.735231530357364,0.163,0.54,1.72360181035404e-238
"592","Wif1",8.83826318253663e-243,-0.649549162389649,0.036,0.312,1.95113498017679e-238
"593","Isg20",1.48339170509893e-242,1.03371890826292,0.507,0.327,3.2747355281764e-238
"594","Ptbp3",1.60266176526026e-242,0.594390133084291,0.578,0.564,3.53803611298855e-238
"595","Slc29a1",3.93909698200395e-242,-0.49579785447734,0.261,0.653,8.69595049747192e-238
"596","Rbbp4",4.68449685467515e-242,0.258501846915988,0.49,0.63,1.03414952563809e-237
"597","Cystm1",5.17788221409842e-242,1.06421548411896,0.385,0.089,1.14306927758437e-237
"598","Acsl4",6.23105494867001e-242,1.22515608486731,0.525,0.302,1.37556769046839e-237
"599","Epha4",8.06205186971502e-242,-0.349679328655389,0.088,0.394,1.77977857075829e-237
"600","Ppp1r14b",1.14628985002611e-241,-0.400263457257555,0.382,0.766,2.53054947291765e-237
"601","Bcat1",1.3342786668261e-241,-0.336024845874884,0.061,0.345,2.9455535848853e-237
"602","Tmsb10",1.79335433664921e-241,1.34759033390849,0.979,0.988,3.9590090335868e-237
"603","Rian",2.00489356498641e-241,-0.328684048934245,0.193,0.533,4.426003034064e-237
"604","Chac1",2.01866976022171e-241,-0.537000674132318,0.134,0.483,4.45641536266546e-237
"605","Syap1",2.23519987448399e-241,0.27490380615401,0.456,0.577,4.93442724291085e-237
"606","Adarb1",5.04667422122017e-241,-0.483144932750469,0.203,0.578,1.11410380107656e-236
"607","Degs1",1.0751602537581e-240,-0.382033506637564,0.36,0.74,2.37352377619637e-236
"608","Socs2",2.05653909027978e-240,0.95369519642712,0.51,0.348,4.54001569570164e-236
"609","Rbm7",2.2658275538514e-240,0.272159462394866,0.491,0.621,5.00204090788235e-236
"610","Usp53",2.33147902125398e-240,1.16432670066913,0.478,0.282,5.14697308732028e-236
"611","Zranb2",2.37903291743281e-240,-0.292969417064483,0.294,0.641,5.25195306852466e-236
"612","Tcf4",2.46446546334306e-240,0.72512991620256,0.83,0.861,5.44055395687614e-236
"613","Nfatc2",3.49924739250196e-240,-0.625004097573374,0.034,0.303,7.72493854368732e-236
"614","Mrpl30",5.68080361509686e-240,0.342620327197474,0.496,0.635,1.25409420606878e-235
"615","Cope",7.43206223810302e-240,-0.348237343028951,0.393,0.762,1.64070205968362e-235
"616","Eif4h",8.41931475449144e-240,0.363001618636634,0.605,0.723,1.85864792520153e-235
"617","Jak2",9.04720278669162e-240,0.890114970971806,0.528,0.371,1.99726048719004e-235
"618","Sec11a",1.42198287208864e-239,-0.296329957207633,0.428,0.788,3.13916938842288e-235
"619","Slc38a10",1.85026744793813e-239,-0.281820844867725,0.145,0.454,4.08465041806821e-235
"620","Phc2",2.24107261931521e-239,0.394347885354005,0.518,0.606,4.94739191440026e-235
"621","Mrps6",2.24765051956293e-239,0.714686712178421,0.607,0.618,4.96191328698711e-235
"622","Ar",2.88237706643052e-239,1.79178817167239,0.43,0.137,6.36313561185202e-235
"623","Ifit3b",3.46059963747442e-239,1.58463782721072,0.323,0.028,7.63961975968854e-235
"624","Gbp5",3.67387144492869e-239,0.929583940902229,0.294,0.015,8.11043860182459e-235
"625","Lifr",5.27583132481866e-239,0.882448369312267,0.37,0.079,1.16469252326697e-234
"626","Scoc",1.02004940496501e-238,0.432590604978157,0.482,0.561,2.25186106640075e-234
"627","Atp8b2",1.32846219148886e-238,-0.292177319408653,0.144,0.454,2.9327131339308e-234
"628","Galnt10",1.35607696788303e-238,-0.292215775100974,0.095,0.391,2.99367551429858e-234
"629","Jdp2",1.40695401978597e-238,-0.726245216246793,0.463,0.846,3.1059916940795e-234
"630","Lysmd3",1.59969149871344e-238,-0.313986430116158,0.226,0.561,3.53147895255979e-234
"631","Fam214b",1.71212153969052e-238,-0.368024468757886,0.114,0.435,3.77967951102078e-234
"632","Mob4",1.87734626000891e-238,0.285616738256431,0.492,0.603,4.14442960359567e-234
"633","Smtn",7.16352908875775e-238,-0.344469853225396,0.202,0.546,1.58142068163416e-233
"634","Ufc1",7.6865106006806e-238,-0.327894327781035,0.45,0.815,1.69687408020625e-233
"635","Prkca",2.09231864949005e-237,-0.28850543939056,0.271,0.614,4.61900265061424e-233
"636","Stx12",2.3466054624952e-237,0.468593420354308,0.437,0.431,5.18036621900441e-233
"637","Fkbp3",3.85979556712114e-237,-0.303481147149043,0.338,0.693,8.52088469397663e-233
"638","Id3",4.30161115554794e-237,1.25091057776558,0.951,0.907,9.49623678698764e-233
"639","Nog",5.56001792955484e-237,-0.503420716455787,0.152,0.504,1.22742955812853e-232
"640","Rap1b",8.01290042745296e-237,0.588491383836246,0.826,0.858,1.76892789836451e-232
"641","Seh1l",1.12043169354337e-236,0.502134759468182,0.465,0.473,2.47346500666634e-232
"642","Lmcd1",1.77303263483906e-236,-0.809804829515116,0.29,0.687,3.91414684467072e-232
"643","Uvrag",2.34268283079374e-236,-0.354464678226085,0.19,0.533,5.17170661726026e-232
"644","Abcc9",2.69830844074598e-236,0.955201046019437,0.386,0.136,5.95678571379083e-232
"645","Apoe",9.20429623813929e-236,1.46756272468631,0.94,0.916,2.03194043753163e-231
"646","Vamp5",1.43532346370548e-235,-0.435277805112815,0.075,0.383,3.16862007847622e-231
"647","Fzd2",1.55190453282691e-235,-0.358560086899674,0.057,0.339,3.42598444666869e-231
"648","Galr2",1.5903153080378e-235,-0.319185933801031,0.023,0.267,3.51078007402424e-231
"649","Ctnnal1",2.26929837551364e-235,0.861628137162637,0.571,0.482,5.00970309378392e-231
"650","Timm13",2.33108838088089e-235,-0.318093618998812,0.449,0.812,5.14611070963266e-231
"651","Myc",2.66911800216595e-235,-0.534114006951719,0.246,0.627,5.89234490158155e-231
"652","Rftn1",5.11995859541766e-235,-0.328360200765461,0.033,0.292,1.1302820595244e-230
"653","Rbpms",6.18496327709055e-235,0.815305214632827,0.505,0.357,1.36539249305051e-230
"654","Akap9",1.14100099251527e-234,-0.263206099727179,0.271,0.607,2.51887379107671e-230
"655","Sertad2",1.94821504136272e-234,-0.333973601200605,0.339,0.701,4.30087952531234e-230
"656","Smim3",2.22782969816352e-234,0.801811462793667,0.695,0.625,4.91815684166579e-230
"657","Tnks2",2.26239401533956e-234,0.306239864253856,0.459,0.579,4.9944610282636e-230
"658","Ube2a",2.27690293390279e-234,0.260496737031298,0.436,0.568,5.0264909168838e-230
"659","Rrp1",2.67486059380615e-234,0.381119679857016,0.553,0.64,5.90502224688646e-230
"660","Ascc3",2.89461714298729e-234,0.446671645185408,0.463,0.529,6.39015680485873e-230
"661","Hsd17b10",3.30119078404417e-234,0.316746035222784,0.423,0.551,7.28770877485591e-230
"662","Cldnd1",3.60830942066109e-234,0.525567598446387,0.689,0.735,7.96570387705143e-230
"663","Helz2",3.76418013627146e-234,0.849487375737732,0.399,0.129,8.30980406883286e-230
"664","Dkk2",5.13263764675605e-234,-0.383668951766721,0.232,0.588,1.13308108689786e-229
"665","Mcfd2",6.85663125696211e-234,-0.2656793219542,0.166,0.475,1.51366991628696e-229
"666","Hnrnpa3",7.02874344260892e-234,0.589235712890636,0.881,0.923,1.55166540239035e-229
"667","Arpc1a",7.18631710602419e-234,0.41808640840756,0.484,0.503,1.5864513643259e-229
"668","Fmr1",7.70302194225402e-234,0.492900385684302,0.503,0.554,1.700519123972e-229
"669","Fndc3a",1.03713911057474e-233,0.726947818719628,0.71,0.687,2.28958830050479e-229
"670","Ankrd29",1.07492727347511e-233,-0.293537864194536,0.06,0.334,2.37300944892366e-229
"671","Selenom",1.89625709860531e-233,-0.606081468432099,0.784,0.983,4.18617717088109e-229
"672","Bst2",2.73711493366362e-233,0.960166664325071,0.61,0.419,6.0424549275558e-229
"673","Cd47",3.49035560554779e-233,0.514681330617903,0.756,0.846,7.7053090348073e-229
"674","Sspn",3.83505857878755e-233,-0.353147630099646,0.118,0.438,8.46627531853139e-229
"675","Dnajc8",3.91124608937544e-233,0.271241760322386,0.535,0.662,8.63446686690523e-229
"676","Dlk1",7.78404781533645e-233,-1.13952589439107,0.053,0.344,1.71840639571367e-228
"677","Rhoc",8.59912422856147e-233,0.606817923254485,0.819,0.845,1.89834266469723e-228
"678","Dock5",9.74506567136482e-233,-0.326530890383403,0.081,0.371,2.1513206976105e-228
"679","Nudcd2",1.26071279498368e-232,-0.289900021335716,0.076,0.358,2.78314956620596e-228
"680","B3gnt2",1.81739865061279e-232,0.855964100543255,0.619,0.582,4.01208926109278e-228
"681","Ppp1r13l",2.26743035812482e-232,-0.32657460187121,0.036,0.296,5.00557925859634e-228
"682","Srpx",7.16391037396584e-232,-0.306079812835835,0.07,0.34,1.5815048541567e-227
